Paese di cittadinanza;Maschi;Femmine;Totale;Totale per 100 stranieri residenti;F per 100 MF
Ciad ;374;104;478;0;21,8
Malaysia ;264;201;465;0;43,2
Costa Rica ;155;310;465;0;66,7
Seychelles ;137;326;463;0;70,4
Ruanda ;201;249;450;0;55,3
Myanmar (ex Birmania) ;162;235;397;0;59,2
Azerbaigian ;162;225;387;0;58,1
Panama ;85;240;325;0;73,8
Haiti ;141;179;320;0;55,9
Gabon ;169;148;317;0;46,7
Nuova Zelanda ;148;169;317;0;53,3
Mozambico ;110;203;313;0;64,9
Lussemburgo ;105;133;238;0;55,9
Guinea Equatoriale ;147;81;228;0;35,5
Zambia ;101;121;222;0;54,5
Cambogia ;59;144;203;0;70,9
Singapore ;47;155;202;0;76,7
Yemen ;117;82;199;0;41,2
Cipro ;83;115;198;0;58,1
Centrafricana, Repubblica ;112;60;172;0;34,9
Zimbabwe (ex Rhodesia) ;75;89;164;0;54,3
Mongolia ;47;113;160;0;70,6
Arabia Saudita ;103;55;158;0;34,8
Islanda ;42;98;140;0;70
Giamaica ;58;64;122;0;52,5
Corea, Repubblica Popolare Democratica (Corea del Nord) ;41;75;116;0;64,7
Sud Sudan, Repubblica del ;64;40;104;0;38,5
Timor Orientale ;22;59;81;0;72,8
Kuwait ;40;26;66;0;39,4
Laos ;16;48;64;0;75
Malawi ;23;35;58;0;60,3
Turkmenistan ;10;42;52;0;80,8
Trinidad e Tobago ;12;33;45;0;73,3
Tagikistan ;17;22;39;0;56,4
Samoa ;12;24;36;0;66,7
Guyana ;13;22;35;0;62,9
São Tomé e Principe ;15;19;34;0;55,9
Gibuti ;13;15;28;0;53,6
Oman ;12;15;27;0;55,6
Figi ;7;16;23;0;69,6
Liechtenstein ;13;10;23;0;43,5
Swaziland ;11;12;23;0;52,2
Monaco ;6;17;23;0;73,9
Bhutan ;12;9;21;0;42,9
Namibia ;5;16;21;0;76,2
Papua Nuova Guinea ;9;11;20;0;55
Riconosciuti non cittadini (lettoni) ;9;11;20;0;55
Suriname ;6;14;20;0;70
Bahamas ;8;11;19;0;57,9
Belize ;13;6;19;0;31,6
Antigua e Barbuda ;7;9;16;0;56,3
Bahrein ;9;5;14;0;35,7
Lesotho ;8;5;13;0;38,5
Barbados ;5;8;13;0;61,5
Maldive ;12;0;12;0;0
Tonga ;6;5;11;0;45,5
Botswana ;6;5;11;0;45,5
Brunei ;6;4;10;0;40
Saint Lucia ;4;6;10;0;60
Qatar ;5;3;8;0;37,5
Stato della Città del Vaticano ;7;1;8;0;12,5
Emirati Arabi Uniti ;7;1;8;0;12,5
Grenada ;4;4;8;0;50
Andorra ;1;5;6;0;83,3
Comore ;4;2;6;0;33,3
Saint Vincent e Grenadine ;3;2;5;0;40
Saint Kitts e Nevis ;1;2;3;0;66,7
Vanuatu ;0;3;3;0;100
Salomone, Isole ;0;2;2;0;100
Kiribati ;2;0;2;0;0
Marshall, Isole ;1;1;2;0;50
Man, Isola di ;1;0;1;0;0
Tuvalu ;0;1;1;0;100
Totale;2.404.129;2.642.899;5.047.028;100;52,4
